"Date/Time","Year","Month","Day","Time","Temp","Weather"
"2012-01-07 08:00","2012","01","07","08:00","-5.8","Cloudy"
"2012-01-07 09:00","2012","01","07","09:00","-5.4","Snow"
"2012-01-07 10:00","2012","01","07","10:00","-5.0","Snow"
"2012-01-07 11:00","2012","01","07","11:00","-4.7","Snow"
"2012-01-07 12:00","2012","01","07","12:00","-4.3","Snow"
"2012-01-07 13:00","2012","01","07","13:00","-3.5","Snow"
"2012-01-07 14:00","2012","01","07","14:00","-2.1","Cloudy"
"2012-01-07 15:00","2012","01","07","15:00","-2.1","Cloudy"
"2012-01-07 16:00","2012","01","07","16:00","-5.4","Mostly Cloudy"
"2012-01-07 17:00","2012","01","07","17:00","-7.1","Fog"
"2012-01-07 18:00","2012","01","07","18:00","-7.6","Fog"
"2012-01-07 19:00","2012","01","07","19:00","-8.2","Fog"
"2012-01-07 20:00","2012","01","07","20:00","-8.2","Snow,Fog"
"2012-01-07 21:00","2012","01","07","21:00","-8.3","Snow"
"2012-01-07 22:00","2012","01","07","22:00","-8.5","Mostly Cloudy"
"2012-01-07 23:00","2012","01","07","23:00","-8.3","Fog"
"2012-01-08 00:00","2012","01","08","00:00","-7.0","Cloudy"
"2012-01-08 01:00","2012","01","08","01:00","-6.3","Cloudy"
"2012-01-08 02:00","2012","01","08","02:00","-6.9","Cloudy"
"2012-01-08 03:00","2012","01","08","03:00","-6.5","Fog"
"2012-01-08 04:00","2012","01","08","04:00","-6.3","Cloudy"
"2012-01-08 05:00","2012","01","08","05:00","-6.2","Mostly Cloudy"
"2012-01-08 06:00","2012","01","08","06:00","-5.8","Mainly Clear"
"2012-01-08 07:00","2012","01","08","07:00","-7.1","Mainly Clear"
"2012-01-08 08:00","2012","01","08","08:00","-7.7","Mainly Clear"
"2012-01-08 09:00","2012","01","08","09:00","-7.3","Mainly Clear"
"2012-01-08 10:00","2012","01","08","10:00","-5.3","Mainly Clear"
"2012-01-08 11:00","2012","01","08","11:00","-3.8","Mostly Cloudy"
"2012-01-08 12:00","2012","01","08","12:00","-2.6","Mostly Cloudy"
"2012-01-08 13:00","2012","01","08","13:00","-1.7","Cloudy"
"2012-01-08 14:00","2012","01","08","14:00","-0.9","Cloudy"
"2012-01-08 15:00","2012","01","08","15:00","-0.3","Cloudy"
"2012-01-08 16:00","2012","01","08","16:00","-0.1","Cloudy"
"2012-01-08 17:00","2012","01","08","17:00","0.3","Cloudy"
"2012-01-08 18:00","2012","01","08","18:00","0.4","Cloudy"
"2012-01-08 19:00","2012","01","08","19:00","0.6","Cloudy"
"2012-01-08 20:00","2012","01","08","20:00","1.1","Cloudy"
"2012-01-08 21:00","2012","01","08","21:00","2.0","Mostly Cloudy"
"2012-01-08 22:00","2012","01","08","22:00","1.3","Mainly Clear"
"2012-01-08 23:00","2012","01","08","23:00","1.0","Mainly Clear"
"2012-01-09 00:00","2012","01","09","00:00","0.0","Mainly Clear"
"2012-01-09 01:00","2012","01","09","01:00","0.2","Clear"
"2012-01-09 02:00","2012","01","09","02:00","-0.4","Clear"
"2012-01-09 03:00","2012","01","09","03:00","-1.3","Clear"
"2012-01-09 04:00","2012","01","09","04:00","-1.7","Clear"
"2012-01-09 05:00","2012","01","09","05:00","-1.9","Clear"
"2012-01-09 06:00","2012","01","09","06:00","-1.5","Clear"
"2012-01-09 07:00","2012","01","09","07:00","-2.8","Clear"
"2012-01-09 08:00","2012","01","09","08:00","-3.2","Mainly Clear"
"2012-01-09 09:00","2012","01","09","09:00","-3.3","Clear"
"2012-01-09 10:00","2012","01","09","10:00","-1.4","Clear"
"2012-01-09 11:00","2012","01","09","11:00","0.6","Mainly Clear"
"2012-01-09 12:00","2012","01","09","12:00","1.2","Clear"
"2012-01-09 13:00","2012","01","09","13:00","2.2","Clear"
"2012-01-09 14:00","2012","01","09","14:00","3.4","Clear"
"2012-01-09 15:00","2012","01","09","15:00","4.1","Mainly Clear"
"2012-01-09 16:00","2012","01","09","16:00","4.1","Mainly Clear"
"2012-01-09 17:00","2012","01","09","17:00","2.7","Mainly Clear"
"2012-01-09 18:00","2012","01","09","18:00","-0.1","Mainly Clear"
"2012-01-09 19:00","2012","01","09","19:00","-1.8","Mainly Clear"
"2012-01-09 20:00","2012","01","09","20:00","-1.7","Mainly Clear"
"2012-01-09 21:00","2012","01","09","21:00","-0.8","Mainly Clear"
"2012-01-09 22:00","2012","01","09","22:00","0.2","Mainly Clear"
"2012-01-09 23:00","2012","01","09","23:00","0.3","Cloudy"
"2012-01-10 00:00","2012","01","10","00:00","0.7","Cloudy"
"2012-01-10 01:00","2012","01","10","01:00","0.4","Mainly Clear"
"2012-01-10 02:00","2012","01","10","02:00","-0.6","Mainly Clear"
"2012-01-10 03:00","2012","01","10","03:00","-0.6","Mostly Cloudy"
"2012-01-10 04:00","2012","01","10","04:00","1.1","Mostly Cloudy"
"2012-01-10 05:00","2012","01","10","05:00","0.5","Mostly Cloudy"
"2012-01-10 06:00","2012","01","10","06:00","1.3","Mostly Cloudy"
"2012-01-10 07:00","2012","01","10","07:00","0.9","Mostly Cloudy"
"2012-01-10 08:00","2012","01","10","08:00","0.7","Mostly Cloudy"
"2012-01-10 09:00","2012","01","10","09:00","0.6","Mostly Cloudy"
"2012-01-10 10:00","2012","01","10","10:00","1.9","Mostly Cloudy"
"2012-01-10 11:00","2012","01","10","11:00","2.7","Mostly Cloudy"
"2012-01-10 12:00","2012","01","10","12:00","4.2","Cloudy"
"2012-01-10 13:00","2012","01","10","13:00","4.8","Mostly Cloudy"
"2012-01-10 14:00","2012","01","10","14:00","4.3","Cloudy"
"2012-01-10 15:00","2012","01","10","15:00","3.3","Cloudy"
"2012-01-10 16:00","2012","01","10","16:00","3.0","Cloudy"
"2012-01-10 17:00","2012","01","10","17:00","3.9","Cloudy"
"2012-01-10 18:00","2012","01","10","18:00","3.4","Cloudy"
"2012-01-10 19:00","2012","01","10","19:00","2.3","Cloudy"
"2012-01-10 20:00","2012","01","10","20:00","1.8","Cloudy"
"2012-01-10 21:00","2012","01","10","21:00","1.7","Cloudy"
"2012-01-10 22:00","2012","01","10","22:00","-0.1","Mostly Cloudy"
"2012-01-10 23:00","2012","01","10","23:00","-0.7","Mostly Cloudy"
"2012-01-11 00:00","2012","01","11","00:00","-4.2","Mostly Cloudy"
"2012-01-11 01:00","2012","01","11","01:00","-7.2","Cloudy"
"2012-01-11 02:00","2012","01","11","02:00","-9.4","Cloudy"
"2012-01-11 03:00","2012","01","11","03:00","-10.6","Cloudy"
"2012-01-11 04:00","2012","01","11","04:00","-13.5","Mainly Clear"
"2012-01-11 05:00","2012","01","11","05:00","-14.3","Mainly Clear"
"2012-01-11 06:00","2012","01","11","06:00","-14.2","Cloudy"
"2012-01-11 07:00","2012","01","11","07:00","-14.6","Cloudy"
"2012-01-11 08:00","2012","01","11","08:00","-14.6","Cloudy"
"2012-01-11 09:00","2012","01","11","09:00","-14.9","Snow"
"2012-01-11 10:00","2012","01","11","10:00","-15.3","Snow,Blowing Snow"
"2012-01-11 11:00","2012","01","11","11:00","-15.6","Snow"
"2012-01-11 12:00","2012","01","11","12:00","-15.8","Snow"
"2012-01-11 13:00","2012","01","11","13:00","-15.5","Snow,Blowing Snow"
"2012-01-11 14:00","2012","01","11","14:00","-15.7","Snow"
"2012-01-11 15:00","2012","01","11","15:00","-15.4","Snow"
"2012-01-11 16:00","2012","01","11","16:00","-15.0","Snow"
"2012-01-11 17:00","2012","01","11","17:00","-14.8","Snow"
"2012-01-11 18:00","2012","01","11","18:00","-14.5","Snow Showers"
"2012-01-11 19:00","2012","01","11","19:00","-14.6","Snow Showers"
"2012-01-11 20:00","2012","01","11","20:00","-14.5","Snow Showers"
"2012-01-11 21:00","2012","01","11","21:00","-14.5","Snow Showers"
"2012-01-11 22:00","2012","01","11","22:00","-14.5","Snow Showers"
"2012-01-11 23:00","2012","01","11","23:00","-14.6","Snow Showers"
"2012-01-12 00:00","2012","01","12","00:00","-14.6","Snow Showers"
"2012-01-12 01:00","2012","01","12","01:00","-14.6","Snow Showers"
"2012-01-12 02:00","2012","01","12","02:00","-15.0","Snow Showers"
"2012-01-12 03:00","2012","01","12","03:00","-16.1","Mostly Cloudy"
"2012-01-12 04:00","2012","01","12","04:00","-16.3","Mostly Cloudy"
"2012-01-12 05:00","2012","01","12","05:00","-18.1","Mostly Cloudy"
"2012-01-12 06:00","2012","01","12","06:00","-18.6","Mainly Clear"
"2012-01-12 07:00","2012","01","12","07:00","-18.7","Mainly Clear"
"2012-01-12 08:00","2012","01","12","08:00","-19.8","Mainly Clear"
"2012-01-12 09:00","2012","01","12","09:00","-21.2","Mainly Clear"
"2012-01-12 10:00","2012","01","12","10:00","-21.1","Clear"
"2012-01-12 11:00","2012","01","12","11:00","-20.5","Clear"
"2012-01-12 12:00","2012","01","12","12:00","-19.2","Clear"
"2012-01-12 13:00","2012","01","12","13:00","-18.6","Clear"
"2012-01-12 14:00","2012","01","12","14:00","-18.2","Mainly Clear"
"2012-01-12 15:00","2012","01","12","15:00","-17.8","Mainly Clear"
"2012-01-12 16:00","2012","01","12","16:00","-19.3","Mainly Clear"
"2012-01-12 17:00","2012","01","12","17:00","-20.4","Mainly Clear"
"2012-01-12 18:00","2012","01","12","18:00","-20.3","Mainly Clear"
"2012-01-12 19:00","2012","01","12","19:00","-21.8","Mainly Clear"
"2012-01-12 20:00","2012","01","12","20:00","-22.2","Mainly Clear"
"2012-01-12 21:00","2012","01","12","21:00","-23.2","Clear"
"2012-01-12 22:00","2012","01","12","22:00","-23.1","Mainly Clear"
"2012-01-12 23:00","2012","01","12","23:00","-22.5","Mainly Clear"
"2012-01-13 00:00","2012","01","13","00:00","-24.0","Clear"
"2012-01-13 01:00","2012","01","13","01:00","-24.3","Clear"
"2012-01-13 02:00","2012","01","13","02:00","-25.2","Clear"
"2012-01-13 03:00","2012","01","13","03:00","-25.6","Clear"
"2012-01-13 04:00","2012","01","13","04:00","-23.3","Clear"
"2012-01-13 05:00","2012","01","13","05:00","-22.4","Clear"
